MENUID,MENUTITLE,MENUPARENT,MENULEVEL,MENUORDER
2388,"Jumlah Gantirugi Mengikut Kategori Staff",2380,5,1
1926,"Refund Application",2701,5,1
2199,"List of Outstanding",2405,5,1
2300,"Refund Application",2704,5,1
2350,"By Type",2492,5,1
2384,"Refund Application",2703,5,1
2407,"List of Outstanding",2406,5,1
2436,"Case to be Assigned to DCA",3046,5,1
2439,"List of DCA by Customer",3016,5,1
2729,"Outstanding List",2728,5,1
2871,"List Of Outstanding",2870,5,1
2885,"Refund Application",2875,5,1
2917," Report By DCA",2916,5,1
2997,"Calculate Commission",3017,5,1
2301,"List of Refund",2704,5,2
2408,"Generated Reminder",2406,5,2
2427,"By Panel",2492,5,2
2440,"List of Customer by DCA",3016,5,2
2821,"Address Student",1703,5,2
2876,"List of Refund",2875,5,2
2918,"Report All DCA",2916,5,2
3008,"Listing of Commission Calculated",3017,5,2
3014,"Confirm to be Assigned",3046,5,2
2603,"List of Reminder Status",2380,5,3
2001,"List of Refund",2701,5,3
2182,"Generated Reminder",2405,5,3
2392,"List of Refund",2703,5,3
3097,"Report JKTK",2916,5,3
2621,"List of Breach Contract",2380,5,4
2413,"List Of Outstanding",2414,5,4
2716,"Recoupment Details (Draft)",2711,5,4
2714,"Recoupment Status",2711,5,7
2712,"Recoup Details",2711,5,8
2442,"Generate Bill Recoupment old",2711,5,9
2599,"Reminder Status",1703,5,9
2415,"Generated Reminder",2414,5,125
